gene,log2FC,pvalue,negLog10P,significance,|log2FC|
ABCA8,-0.257422303504031,0.0199742904929092,1.6995286383212,NS,0.257422303504031
ENAM,0.257162645168301,0.286586586803124,0.542744139876242,NS,0.257162645168301
CRP,0.257007044598421,0.231123537177917,0.636155824551296,NS,0.257007044598421
EFTUD1,-0.256974596347727,0.211493911009281,0.674702131613459,NS,0.256974596347727
OR8D4,0.256865559696546,0.232509723812119,0.633558879721813,NS,0.256865559696546
HORMAD2,0.256604120344523,0.285784049517066,0.543962014173574,NS,0.256604120344523
C6orf10,0.256588055367632,0.0731928527062909,1.13553132579636,NS,0.256588055367632
ZNF814,0.256493869929764,0.632445766818011,0.198976709964801,NS,0.256493869929764
OXSM,0.256429323051137,0.00869055681500431,2.06095239686126,NS,0.256429323051137
OPN5,0.256217591499968,0.150655694849388,0.822014447164078,NS,0.256217591499968
C6orf155,0.256074539433237,0.157795730189998,0.80190475258421,NS,0.256074539433237
ICMT,-0.255532106010605,0.117516360813621,0.929901666018298,NS,0.255532106010605
PPP2CB,-0.255282253088845,0.0731940830907422,1.13552402529274,NS,0.255282253088845
CD247,-0.254754214356914,0.0810403748379413,1.09129855889071,NS,0.254754214356914
WDR12,0.254688755524441,0.40681712154872,0.39060077738731,NS,0.254688755524441
MED18,0.254637587862653,1.28542844144912E-06,5.89095209509953,NS,0.254637587862653
MIR145,-0.254488950445948,0.22008861535787,0.657402421849792,NS,0.254488950445948
PRIM1,-0.254473817072994,0.190416667085391,0.720295040686747,NS,0.254473817072994
CCDC144A,0.254302288697736,0.0728248627510922,1.13772032518982,NS,0.254302288697736
CALML6,0.25430076680088,0.278738644663681,0.554802815998864,NS,0.25430076680088
ACTBL2,0.253996913354689,0.0197035711198712,1.70545505418867,NS,0.253996913354689
RNU5D,-0.253873790199004,0.627472529237372,0.202405282853739,NS,0.253873790199004
PDAP1,-0.253870908175395,0.00451286912648787,2.3455472608668,NS,0.253870908175395
C14orf93,0.253844681532883,0.181650232799821,0.740764041216556,NS,0.253844681532883
HHIP,-0.253572513636449,0.0398402986389004,1.39967741480807,NS,0.253572513636449
ODZ1,0.253510383008963,0.0164055406358755,1.78500945309819,NS,0.253510383008963
OR52E8,0.253476398054331,0.194997657239696,0.709970606350222,NS,0.253476398054331
SLC46A3,-0.253008740862675,0.00385117121108681,2.41440717356699,NS,0.253008740862675
TMEM14E,0.252990918696453,0.0962545934233138,1.01657853609689,NS,0.252990918696453
FLJ35409,0.252576557006655,0.434643139550179,0.36186717093128,NS,0.252576557006655
OR51B4,0.251775510853055,0.348685117585144,0.457566588582097,NS,0.251775510853055
LOC654433,-0.251551595119509,0.357547252674774,0.44666655464666,NS,0.251551595119509
MIR155,0.251520549285896,0.00892564742751804,2.0493602722465,NS,0.251520549285896
MLF1,0.251265808833861,0.459657653599399,0.337565504201004,NS,0.251265808833861
C3orf43,0.251033033664084,0.0300822785081117,1.52168927226844,NS,0.251033033664084
OR2C3,0.250935429261553,0.104387281833105,0.981352410971363,NS,0.250935429261553
RPSAP52,0.250680119946191,0.120443421147028,0.919216917023657,NS,0.250680119946191
MIR29B2,0.250585747597111,0.495435012901658,0.305013304628131,NS,0.250585747597111
IGHV4-59,-0.250267967387875,0.0692325581180403,1.1596896210677,NS,0.250267967387875
CXXC4,-0.250252257634761,0.0289000584049473,1.53910127956454,NS,0.250252257634761
