"gene","log2FC","negLog10P","significance"
"GPR143",0.00200141274921473,0.0128895670080997,"NS"
"CD46",-0.00200555573539107,0.0128573710982485,"NS"
"ANO9",-0.00200638294987332,0.0112430754304346,"NS"
"SLC39A9",-0.00200714771063737,0.0104909019111084,"NS"
"FAM169A",0.00201062182230705,0.00824055924648188,"NS"
"ZCCHC24",0.002016161103644,0.010535712245777,"NS"
"SKA2",-0.00201789514742612,0.00551787223396146,"NS"
"TMED1",-0.002027497041315,0.0145637825263378,"NS"
"ESRRB",-0.0020338940974185,0.00682840310773494,"NS"
"GNA15",-0.00203945539584183,0.0161764606705156,"NS"
"LILRB3",-0.00204053730209841,0.0152004041216473,"NS"
"SGPP2",-0.00204816151345177,0.0176147964753093,"NS"
"CCDC107",-0.00205094772270864,0.00701222964497611,"NS"
"TSR1",-0.00205546621195207,0.00562032724686783,"NS"
"CD37",0.00205610757520258,0.0085488838762364,"NS"
"JUN",0.00206551070791994,0.00470313303032335,"NS"
"NPHS1",-0.00206730414310408,0.00524441353478484,"NS"
"MUC19",-0.0020686636722953,0.0139654022239798,"NS"
"SETD5",-0.00207114132875752,0.0119826722943685,"NS"
"DHX33",0.00207676904194898,0.00967872942627065,"NS"
"HIGD2B",-0.0020852952803827,0.0105450110962198,"NS"
"PAFAH2",0.00208556544727601,0.00495685785547841,"NS"
"SQRDL",-0.00209069218438285,0.00848172067294111,"NS"
"SLC17A6",-0.00209072418320022,0.00418207737531147,"NS"
"LOC729862",0.00209811121476666,0.00509335321731317,"NS"
"THSD1P1",-0.00209881449775295,0.00902648598808165,"NS"
"LGALS9B",0.00210553703178284,0.0197525555592837,"NS"
"DDB2",0.00211091893903226,0.00598367386554062,"NS"
"CST9L",0.00212311109205543,0.00410825979904984,"NS"
"UBAP1",-0.00212397323828961,0.0137299252271022,"NS"
"DPH1",0.00212724882401183,0.00820209426314856,"NS"
"PSMC4",0.00212837510257158,0.0324919753545786,"NS"
"SNORD68",0.0021296464539331,0.0237596647992502,"NS"
"MIR202",0.00214782336944319,0.00398432697483064,"NS"
"PLCB3",0.0021620576268484,0.0192360403705016,"NS"
"TMEM182",0.00216472442055604,0.00816710313190395,"NS"
"ATP6V0D2",-0.0021649653363332,0.00888957378370854,"NS"
"BLVRB",0.0021660554318057,0.0146700293387384,"NS"
"LRRC52",0.0021664816944611,0.00745051432304772,"NS"
"WIPI2",0.00216737747908002,0.0162927961835215,"NS"
"FLJ40536",-0.00217039376767714,0.00379333286885956,"NS"
"C4orf49",0.0021801295170385,0.00899003345907778,"NS"
"NTN5",0.00218163229541402,0.0105570442564692,"NS"
"C10orf111",0.00218269102650925,0.0403705962814511,"NS"
"RAPH1",-0.00218328456999251,0.00905068205692711,"NS"
"IL24",-0.00219233276951436,0.0106344331672477,"NS"
"DDX10",-0.00219286375444061,0.00645702082880834,"NS"
"COL10A1",0.00219425937045159,0.00521232163951203,"NS"
"ABTB1",-0.00220464410187748,0.0185096877765465,"NS"
"SNORA15",0.00220711225933545,0.012791825938651,"NS"
"FPR3",-0.00220816237033472,0.00421787447791397,"NS"
"VAPA",0.00220909630423183,0.014625182506434,"NS"
"KCNQ2",0.00221569104182517,0.010707645910434,"NS"
"MYO15A",0.00222833001854217,0.0143704128510803,"NS"
