"gene","log2FC","pvalue","negLog10P","significance"
"FAM104B",-0.061663802829458,0.271396006886925,0.566396546505801,"NS"
"LOC348840",0.0616661262947636,0.237318229306415,0.624668900707591,"NS"
"CISD1",0.0616766097867258,0.0153431094052175,1.81408661817816,"NS"
"MON1A",0.0616858796256909,0.221390113278029,0.654841777516324,"NS"
"C12orf66",-0.0617002875771382,0.153276085765138,0.814525598768576,"NS"
"MFHAS1",-0.0617050996628454,0.197705811438473,0.703980564684474,"NS"
"C7orf68",0.0617099454070009,0.349759784083969,0.45623012783186,"NS"
"C15orf32",-0.0617121220915209,0.201670676353604,0.695357245186535,"NS"
"CCDC89",0.0617156966503252,0.27436462307892,0.561671887834441,"NS"
"C2orf54",0.0617206722876651,0.298210367236911,0.525477262440641,"NS"
"SNAI1",-0.0617260470128482,0.291397007208146,0.535514912962947,"NS"
"CSN2",0.061734342555343,0.293354516353719,0.53260722119437,"NS"
"FLJ45950",-0.0617517817831994,0.299201727986429,0.524035902609703,"NS"
"LOC100288884",-0.0617608790167808,0.250659732158553,0.600915428730147,"NS"
"FAM90A10",0.0617621913692781,0.0575014178654508,1.24032144637907,"NS"
"TMEM139",-0.0617720616268465,0.0660627332967575,1.18004346165971,"NS"
"ZNF56",0.0617770925396388,0.15927390962976,0.797855359364108,"NS"
"RBFOX1",0.0617947490579387,0.168484556584593,0.773439900712331,"NS"
"FOXO3",-0.0617972926618808,0.0779953372253036,1.10793135984606,"NS"
"SRPR",-0.0617999926139272,0.0670703466419042,1.17346944907493,"NS"
"HOXA5",-0.0618136781341003,0.192297963861182,0.716025314245839,"NS"
"HSP90AA2",0.0618421666751552,0.520470809102241,0.283603623120444,"NS"
"KHK",0.0618592330713306,0.335995779004004,0.473666178463679,"NS"
"HSP90AA4P",0.0618594465457066,0.632551048433267,0.198904420099552,"NS"
"SNORA1",-0.0618622575320793,0.528725118744606,0.276770056583655,"NS"
"BEX5",-0.0618682944746332,0.0937972645811998,1.02780982680871,"NS"
