"gene","log2FC","pvalue","negLog10P","significance"
"KCTD21",-0.00147904358770923,0.988980012843068,0.00481248534890527,"NS"
"MED15",-0.00148513355469948,0.954313088612273,0.0203091196885302,"NS"
"NPM3",-0.00148545004252565,0.940229561394541,0.02676609844802,"NS"
"DCST2",0.00148549335250614,0.979732450044227,0.00889250730095912,"NS"
"MAGEA10",0.00148820590294352,0.995051876488088,0.00215427695757039,"NS"
"ASB16",0.00149266049821328,0.970216882337263,0.0131311726679796,"NS"
"ZNF668",0.00149621326249827,0.97752223035841,0.00987335729556548,"NS"
"NDE1",0.00150292627643234,0.985358894531229,0.00640555881635093,"NS"
"TCTN1",-0.00150551653340036,0.97612048018472,0.0104965751097787,"NS"
"GABPB2",0.0015097828090429,0.985538508678366,0.00632640154204318,"NS"
"C9orf114",0.00152849121942444,0.983942016458962,0.00703049371691362,"NS"
"PAFAH2",0.00152944736958771,0.991610610048508,0.00365883500943198,"NS"
"NBPF3",-0.00152965399735416,0.973267365596818,0.0117678386084233,"NS"
"SMU1",-0.00153097165172866,0.977553854938733,0.00985930732499776,"NS"
"CPSF4",0.00153498098105209,0.967799131726499,0.0142147718601281,"NS"
"VAMP2",0.00154198770425706,0.972636654484447,0.0120493677717769,"NS"
"SRRT",-0.00155303287762187,0.969879173426593,0.0132823663343333,"NS"
"ITM2C",0.00155516937023314,0.981082414334338,0.00829450884098872,"NS"
"BMPER",-0.00155640435681037,0.988741420089147,0.0049172721153602,"NS"
"CD34",-0.0015600801507536,0.979779341466551,0.00887172183178654,"NS"
"FAM180B",-0.00156454773620496,0.987850147827002,0.00530893082507031,"NS"
"LUC7L3",-0.00157308452054972,0.97249863029404,0.0121110016795391,"NS"
"PLEKHB1",-0.001577142303687,0.986745573971987,0.00579481294750038,"NS"
"FAM76A",0.00157953519833698,0.989733011098173,0.00448194423566206,"NS"
"AP2A1",-0.00158400052909435,0.977790835012745,0.00975403776357763,"NS"
"ACYP2",0.00158987654616771,0.958739696448911,0.018299290369614,"NS"
"GOLGA8E",0.00159046654993822,0.929377896197314,0.0318076607507268,"NS"
"IFT172",0.0015913239635581,0.980427445335027,0.00858453994268114,"NS"
"SF3B14",0.0015918094280396,0.960358133880592,0.0175667809566931,"NS"
"APOA1",-0.00159498836374694,0.969310139411898,0.0135372443269608,"NS"
"MRGPRX4",0.00161416805885606,0.989465349897778,0.00459940975640084,"NS"
"UBE2D2",0.0016161520287401,0.963528782225591,0.0161353077080073,"NS"
"SNORD29",-0.00161640802962681,0.961665040103711,0.0169761717942,"NS"
"ZAK",0.00162199263066198,0.987240634689579,0.00557697744143483,"NS"
"C4orf6",-0.00162458822596689,0.986130005284446,0.0060658265843641,"NS"
"CD81",0.00162985714740227,0.981379518255851,0.00816301014284025,"NS"
"DNM1P35",-0.00163071621011435,0.988220548819347,0.00514611973817565,"NS"
"APBB2",0.00163084836113869,0.987478983932737,0.00547213849559583,"NS"
"KCNRG",-0.00163373820383805,0.993514797623977,0.00282566003018078,"NS"
"KCNG2",0.00164330155165882,0.971181949645631,0.0126993979761359,"NS"
