"gene","log2FC","negLog10P","significance"
"KSR2",0.000797636521610467,0.0182949653106938,"NS"
"BRMS1",0.000802315044683422,0.0123003440980218,"NS"
"SPAG1",0.000805311198770919,0.012276849661965,"NS"
"DUSP5",0.000806874992999251,0.0115675958476524,"NS"
"UBXN1",-0.000806897618131686,0.0308842156672601,"NS"
"FLJ41327",0.000807320835687353,0.0103862875573506,"NS"
"SDR9C7",0.00080970191835017,0.0122029041608043,"NS"
"ZNF212",-0.000810350527016279,0.0215105454685002,"NS"
"FAM155B",0.000810440672924573,0.0236899462333911,"NS"
"FLJ45079",0.000812883022284439,0.00967701160618499,"NS"
"CYP26C1",-0.000813122924837595,0.0148098838909293,"NS"
"SLC16A11",0.000814277799452423,0.0194322425903624,"NS"
"TBC1D19",0.000814299390247353,0.0087982199523223,"NS"
"KLRG2",-0.000814848089412123,0.0200318913003594,"NS"
"RRAS2",0.000816861637018107,0.0242828902986,"NS"
"RBBP5",-0.000817611157741149,0.0132106103741902,"NS"
"WDR70",-0.000826332686801656,0.0228586077363553,"NS"
"GPR35",0.000826367368747416,0.0192232769591878,"NS"
"TDRD7",0.000828015494062528,0.015723743007871,"NS"
"LZTS1",-0.000828638266739734,0.0163728597805803,"NS"
"KCNC3",0.000831018311778564,0.0170926465551693,"NS"
"PRCC",-0.000839883457393054,0.0180142331553963,"NS"
"C1orf210",0.000842526394979615,0.0188079591800092,"NS"
"NPRL3",-0.000842767787528675,0.0242393295273082,"NS"
"SLC3A2",-0.000844864666720735,0.0161226348784781,"NS"
"ZDHHC3",-0.000846616141353618,0.0193548044000799,"NS"
"USP8",-0.000847529351685417,0.0146785525391554,"NS"
"HNRNPA3P1",-0.000847973575676786,0.0243792993338627,"NS"
"SPRNP1",-0.000850002486426416,0.0186207313242764,"NS"
"DEFT1P",-0.000850470088578525,0.0156194997200975,"NS"
"LCN6",0.000850551389924403,0.017450020921069,"NS"
"SLC25A14",-0.00086195431638858,0.0121090117626265,"NS"
"ALG14",-0.000864248424962355,0.0119990955422449,"NS"
"LOXL3",0.000867062161531207,0.015080423455474,"NS"
"YLPM1",0.000867252988705047,0.0288501850100822,"NS"
"FAM116B",-0.000868514024711775,0.0392319392326844,"NS"
"LAT",0.000868887833566312,0.019781376084735,"NS"
"PRDM13",0.000869859796968964,0.0273102301076537,"NS"
"DCAKD",-0.000871471134142876,0.0182067535428566,"NS"
"HPS3",0.000874300766196434,0.0118664342403714,"NS"
"CCDC124",0.000874353861730182,0.0219191506552717,"NS"
"PPT1",0.000874495249717944,0.0128367816641019,"NS"
"GTPBP1",-0.000879616097076319,0.0170474319465223,"NS"
"UQCRB",-0.000880157805184578,0.00812327349065929,"NS"
"SPNS1",0.000881586030219594,0.0247866749948067,"NS"
"TTL",-0.000882895334593625,0.0167550401754981,"NS"
"KNCN",0.000887370684297561,0.0263174806904176,"NS"
"FSTL1",0.00088832245377013,0.0211327722417204,"NS"
"TRMT1",0.000888601564761116,0.0147349063099918,"NS"
"DNAJB7",0.000903252189692338,0.011227467151652,"NS"
"ODZ4",0.000903275964766248,0.0245394699046466,"NS"
"RAB4B",-0.00090476582489929,0.0135822418496632,"NS"
"TEAD3",0.000906042385656836,0.0270968913501089,"NS"
"FFAR2",-0.000906287791322624,0.00911930128199607,"NS"
"AURKC",-0.00090720766981689,0.0192185896173329,"NS"
"ZNF143",0.00091225167440423,0.0118629166020244,"NS"
"SLC6A8",-0.000912399253978791,0.0330037905573529,"NS"
"CALCA",0.000917596639604001,0.0144917623624896,"NS"
"PSMB6",0.000918064379777928,0.0193052524677422,"NS"
"C12orf34",0.000918374215842732,0.0279152085262259,"NS"
"PRDM14",0.000918949331632612,0.0125448513572999,"NS"
"SNIP1",-0.000919370280763943,0.0293587426298902,"NS"
"CCDC109B",-0.000923080796331632,0.0104174400543575,"NS"
"ADRA1D",-0.000924668249261407,0.0181740692927873,"NS"
