name,logFC,DE_class
SMARCA1,0.002497348419829848,NS
RSAD1,-0.002501679963149428,NS
OPN1MW2,0.0025065569029190105,NS
TAF15,0.002507319523763929,NS
ARSD,0.002508320125971908,NS
HLA-DOA,-0.002510619599433994,NS
IDUA,0.0025194427058314872,NS
LSM2,-0.0025330137940633435,NS
TMEM154,-0.0025386103152280626,NS
ZSCAN1,0.002540796122341593,NS
RFX7,-0.002542145879442792,NS
POLR2B,0.0025445820563234633,NS
LOC440518,-0.002547588956849589,NS
C13orf31,-0.0025496777991779185,NS
NBPF10,0.0025625633756414246,NS
ZFP90,0.002562901371921722,NS
KCNA6,0.002570269691608118,NS
MFAP1,-0.002574427333232876,NS
P2RY1,0.002575187453446537,NS
LOC401296,0.0025836743272702467,NS
GPATCH4,-0.002590904984398623,NS
ZNF622,0.002599216427301654,NS
SMARCB1,0.00260014433061162,NS
BAT2,0.0026042716605036986,NS
ACAP3,-0.0026106632644997685,NS
COQ2,0.0026175642930970078,NS
EEF1DP3,0.0026184609362549516,NS
ZNF777,-0.0026228850942240367,NS
ZEB2,0.0026274531453407413,NS
PALM3,0.002640008399962923,NS
C9orf57,-0.0026406839176680297,NS
DOK4,-0.0026438438196989544,NS
C3orf25,-0.0026498989947192353,NS
CST7,-0.0026504996269687275,NS
RPL35,-0.002654948663774803,NS
SLC27A4,0.0026644286892527624,NS
STARD4,0.0026657462603156823,NS
BASE,0.0026731501032410954,NS
MOGS,-0.002673893041906128,NS
DNAJC25,-0.002678426352526131,NS
RELL1,0.002680343595188095,NS
ZSCAN2,0.002686514249447436,NS
EXTL1,-0.002696561084668758,NS
SYNGAP1,0.002697874040397119,NS
DCAF5,0.002701277268729596,NS
SNX3,-0.0027051902265735617,NS
TBC1D15,-0.002710370489075853,NS
CSAG1,-0.0027113660398669914,NS
TRIT1,-0.0027128891753340767,NS
UXS1,0.0027148718409586436,NS
GABPA,0.0027165986659598573,NS
GOLGA8G,0.002732036036928287,NS
DCTN2,-0.0027374229846111042,NS
ULK2,0.002739146066686571,NS
FBLIM1,-0.0027391917777794816,NS
IL21R,-0.002741192653738178,NS
TMEM179,-0.002742469401857628,NS
SMG1,-0.0027456124002287474,NS
LOC285735,-0.0027460934072961463,NS
DNMT3A,0.002750100488674967,NS
IQCH,0.0027510630153668725,NS
MED8,0.0027590774768209148,NS
OGG1,0.002762433982580692,NS
SCARNA6,-0.002766990994974794,NS
MGC4294,-0.0027714719765923324,NS
RALY,-0.0027732544175087526,NS
GSDMA,0.0027811826222059466,NS
FLJ32756,-0.00278302050143564,NS
LMX1A,0.002784139905491756,NS
NRD1,-0.002804252863358059,NS
ZNF804B,-0.002806406055289923,NS
KCNK7,0.00280698286268688,NS
DLG3,-0.002807624325913194,NS
TPK1,0.002813900985477069,NS
GUCY1B3,0.002827181598434647,NS
CIRH1A,-0.0028302802449475806,NS
TMEM189,0.002833198644356605,NS
PSMB7,-0.002842705911863863,NS
DMRTA1,-0.002851981488942279,NS
UAP1,0.00285483683677068,NS
CNTN2,-0.0028746147979876735,NS
TMEM71,-0.00287565177054383,NS
FAM159A,0.0028776537713768313,NS
IRX3,-0.0028793872224044392,NS
YIPF3,0.0028815296116810885,NS
BAT2L1,-0.0028924023851444325,NS
CYFIP2,0.0029212823928275178,NS
ZNF429,-0.0029267256536775754,NS
RFTN1,-0.0029296405602128317,NS
USP6NL,-0.002930749300602997,NS
NKX6-2,0.002933641914347973,NS
GJD4,-0.002934295495430783,NS
GLCCI1,0.0029452423708491438,NS
KCP,0.002949285826468362,NS
TACO1,0.002953175019817289,NS
ZER1,0.0029543793298252297,NS
PDIA2,0.0029639464377126945,NS
WIPF2,-0.0029648270853095404,NS
CCT2,-0.002969719901088741,NS
AP2B1,0.0029738121395710415,NS
C11orf76,-0.0029835240809488184,NS
C14orf101,-0.0029894308871341035,NS
PAX3,0.0029943054347438824,NS
LANCL1,-0.0029954454352472126,NS
HEXB,0.003001380011786292,NS
KATNAL2,0.0030116001622015887,NS
TCTA,0.0030202723136842913,NS
EIF6,-0.0030262648785290835,NS
DLGAP4,0.003031988514887285,NS
RPS21,0.0030349023342783887,NS
TAS2R3,-0.003035783150935334,NS
MIPEP,0.0030388609775158226,NS
ZNF410,-0.003040765932173839,NS
SPON2,0.003042473730846318,NS
SMYD5,0.0030449581400793235,NS
ZNF551,0.003061160902302573,NS
ECD,-0.003062846426420407,NS
SLC17A2,0.0030638907747883026,NS
CSRP2BP,-0.003066838056841048,NS
GANAB,0.00307179909545674,NS
ACSM5,0.0030847458156297858,NS
ANGPTL4,-0.003086625692989786,NS
URB2,-0.0030944950869473686,NS
CISD2,-0.003108038228147425,NS
LOC100287483,0.0031114371744411784,NS
MIR218-2,-0.003126069867595227,NS
NNAT,0.0031294160326149623,NS
SATB2,0.0031303886709255213,NS
UBA52,0.0031306867469185207,NS
FTCD,0.003133127513577083,NS
C21orf57,0.0031337247739799956,NS
C14orf45,0.0031408376267991756,NS
TMSB10,0.003148453902489301,NS
MAPK3,-0.0031511046735590575,NS
ARAP3,-0.003152377813253837,NS
AUP1,-0.0031550421038915033,NS
PPP1R16B,0.0031568143952036554,NS
FUNDC2,-0.0031576609727295146,NS
AVEN,0.0031627071062629852,NS
CHFR,-0.0031640845454616873,NS
CD68,0.0031648684008929173,NS
CCNB1IP1,0.0031721598114982097,NS
C18orf2,0.0031814273971016993,NS
DNASE2,-0.0031832370772404417,NS
H6PD,0.0031930950171799033,NS
SPRR2E,0.003199146880570769,NS
LOC150622,-0.003199549610279462,NS
SNORA74A,0.003200801794456254,NS
PLXND1,0.0032082597934499635,NS
MLXIP,0.003209414037568692,NS
HSPG2,-0.0032132025286357724,NS
OTP,-0.0032226705512601317,NS
